name,stars,img,owner,repo_name
DappGoose-Labs/kilocode,0,https://avatars.githubusercontent.com/u/100529059?s=40&v=4,DappGoose-Labs,kilocode
DiegoSouzaPW/cline,0,https://avatars.githubusercontent.com/u/8016841?s=40&v=4,DiegoSouzaPW,cline
earth-sol/hash,0,https://avatars.githubusercontent.com/u/55757024?s=40&v=4,earth-sol,hash
Zentar-Ai/Zentara-Code,16,https://avatars.githubusercontent.com/u/214788364?s=40&v=4,Zentar-Ai,Zentara-Code
jnorthrup/superbikeshed,0,https://avatars.githubusercontent.com/u/73514?s=40&v=4,jnorthrup,superbikeshed
MjrTom/Roo-Code,0,https://avatars.githubusercontent.com/u/1137977?s=40&v=4,MjrTom,Roo-Code
ffp5/cline-main,0,https://avatars.githubusercontent.com/u/91985618?s=40&v=4,ffp5,cline-main
glassBead-tc/Roo-Code-MCP-Eval,0,https://avatars.githubusercontent.com/u/102933849?s=40&v=4,glassBead-tc,Roo-Code-MCP-Eval
huooda/MultiCoder,0,https://avatars.githubusercontent.com/u/123956273?s=40&v=4,huooda,MultiCoder
noResign/Roo-Code-Simple,0,https://avatars.githubusercontent.com/u/55434371?s=40&v=4,noResign,Roo-Code-Simple
tot-ra/clare,0,https://avatars.githubusercontent.com/u/445122?s=40&v=4,tot-ra,clare
pelikhan/action-genai-video-issue-analyzer,0,https://avatars.githubusercontent.com/u/4175913?s=40&v=4,pelikhan,action-genai-video-issue-analyzer
TSGCFO/Roo-Code,0,https://avatars.githubusercontent.com/u/148046818?s=40&v=4,TSGCFO,Roo-Code
Alzok/kilocode-free,0,https://avatars.githubusercontent.com/u/6191226?s=40&v=4,Alzok,kilocode-free
RooCodeInc/Roo-Code,15297,https://avatars.githubusercontent.com/u/211522643?s=40&v=4,RooCodeInc,Roo-Code
xincmm/claude-code-leak,1,https://avatars.githubusercontent.com/u/22817584?s=40&v=4,xincmm,claude-code-leak
brookcs3/agentis2,0,https://avatars.githubusercontent.com/u/182832077?s=40&v=4,brookcs3,agentis2
carlovsk/botify,0,https://avatars.githubusercontent.com/u/64426814?s=40&v=4,carlovsk,botify
riayunita/voxloud,0,https://avatars.githubusercontent.com/u/6246421?s=40&v=4,riayunita,voxloud
pelikhan/action-genai-issue-dedup,0,https://avatars.githubusercontent.com/u/4175913?s=40&v=4,pelikhan,action-genai-issue-dedup
Alzok/kilodo.kilo-code-free-1.0.0,0,https://avatars.githubusercontent.com/u/6191226?s=40&v=4,Alzok,kilodo.kilo-code-free-1.0.0
pelikhan/action-genai-issue-labeller,2,https://avatars.githubusercontent.com/u/4175913?s=40&v=4,pelikhan,action-genai-issue-labeller
tne-ai/TNE-Code,0,https://avatars.githubusercontent.com/u/73915703?s=40&v=4,tne-ai,TNE-Code
LaxBloxBoy2/qapt-coder,0,https://avatars.githubusercontent.com/u/206945415?s=40&v=4,LaxBloxBoy2,qapt-coder
thomcost/cline,0,https://avatars.githubusercontent.com/u/6240476?s=40&v=4,thomcost,cline
torchy55/Roo-Code,0,https://avatars.githubusercontent.com/u/8405182?s=40&v=4,torchy55,Roo-Code
ripgrim/anon-kode,27,https://avatars.githubusercontent.com/u/75869731?s=40&v=4,ripgrim,anon-kode
Kilo-Org/kilocode,990,https://avatars.githubusercontent.com/u/201822503?s=40&v=4,Kilo-Org,kilocode
HemantGuptaShorthillsAI/Shorthills-ai-extension,0,https://avatars.githubusercontent.com/u/198718535?s=40&v=4,HemantGuptaShorthillsAI,Shorthills-ai-extension
paulpham157/cline,0,https://avatars.githubusercontent.com/u/63088774?s=40&v=4,paulpham157,cline
SwiftUI-Bridge/SwiftUI-Bridge,61,https://avatars.githubusercontent.com/u/177140746?s=40&v=4,SwiftUI-Bridge,SwiftUI-Bridge
microsoft/promptpex,97,https://avatars.githubusercontent.com/u/6154722?s=40&v=4,microsoft,promptpex
mcp-research/aircodelabs__grasp,0,https://avatars.githubusercontent.com/u/208537706?s=40&v=4,mcp-research,aircodelabs__grasp
jabari-max/cline,0,https://avatars.githubusercontent.com/u/207655600?s=40&v=4,jabari-max,cline
DakineMI/genaiscript,0,https://avatars.githubusercontent.com/u/25511074?s=40&v=4,DakineMI,genaiscript
chaterm/Chaterm,352,https://avatars.githubusercontent.com/u/206796645?s=40&v=4,chaterm,Chaterm
cbwinslow/cline,0,https://avatars.githubusercontent.com/u/8528478?s=40&v=4,cbwinslow,cline
amackenzie1/mosaic-match,0,https://avatars.githubusercontent.com/u/38409574?s=40&v=4,amackenzie1,mosaic-match
matari/RooTasker,1,https://avatars.githubusercontent.com/u/1245716?s=40&v=4,matari,RooTasker
TeamADAPT/roo-scheduler,0,https://avatars.githubusercontent.com/u/181675239?s=40&v=4,TeamADAPT,roo-scheduler
noritaka1166/Roo-Code,0,https://avatars.githubusercontent.com/u/189505037?s=40&v=4,noritaka1166,Roo-Code
fernandomfdz/pintora,0,https://avatars.githubusercontent.com/u/15805059?s=40&v=4,fernandomfdz,pintora
chadananda/bw-writer,0,https://avatars.githubusercontent.com/u/958147?s=40&v=4,chadananda,bw-writer
grokchatgpt/skyline,0,https://avatars.githubusercontent.com/u/201217925?s=40&v=4,grokchatgpt,skyline
ringo-hik/on-premises-cline,0,https://avatars.githubusercontent.com/u/138537387?s=40&v=4,ringo-hik,on-premises-cline
kohofinancial/Roo-Code,0,https://avatars.githubusercontent.com/u/25867428?s=40&v=4,kohofinancial,Roo-Code
ClydeShen/mcp-e2e,0,https://avatars.githubusercontent.com/u/16142604?s=40&v=4,ClydeShen,mcp-e2e
InditexTech/cline,0,https://avatars.githubusercontent.com/u/128586778?s=40&v=4,InditexTech,cline
sjf/cline-priv,0,https://avatars.githubusercontent.com/u/153992?s=40&v=4,sjf,cline-priv
scaler-ai/cline,0,https://avatars.githubusercontent.com/u/172877670?s=40&v=4,scaler-ai,cline
huaixvv/roocode-enhance,0,https://avatars.githubusercontent.com/u/48435229?s=40&v=4,huaixvv,roocode-enhance
TeamADAPT/roo-code,0,https://avatars.githubusercontent.com/u/181675239?s=40&v=4,TeamADAPT,roo-code
TheJ-Erk400/cline-dev,1,https://avatars.githubusercontent.com/u/118570800?s=40&v=4,TheJ-Erk400,cline-dev
jamesecy604/mayai-roo,0,https://avatars.githubusercontent.com/u/167812933?s=40&v=4,jamesecy604,mayai-roo
netbrah/cline,0,https://avatars.githubusercontent.com/u/162479981?s=40&v=4,netbrah,cline
mbaneshi/adk-mcp,0,https://avatars.githubusercontent.com/u/21130612?s=40&v=4,mbaneshi,adk-mcp
hongg135/ads,0,https://avatars.githubusercontent.com/u/184446007?s=40&v=4,hongg135,ads
Jbbrack03/Roo-Code,1,https://avatars.githubusercontent.com/u/20332798?s=40&v=4,Jbbrack03,Roo-Code
infinyte/mcp-server,0,https://avatars.githubusercontent.com/u/7569490?s=40&v=4,infinyte,mcp-server
Mr-hysteria/Roo-code,0,https://avatars.githubusercontent.com/u/71417155?s=40&v=4,Mr-hysteria,Roo-code
skaldur-app/skaldur,0,https://avatars.githubusercontent.com/u/210126538?s=40&v=4,skaldur-app,skaldur
mindblowngaming/cline,0,https://avatars.githubusercontent.com/u/125539349?s=40&v=4,mindblowngaming,cline
plucky-ai/agent,0,https://avatars.githubusercontent.com/u/182135327?s=40&v=4,plucky-ai,agent
aeonnext/Roo-Code,0,https://avatars.githubusercontent.com/u/114485942?s=40&v=4,aeonnext,Roo-Code
trustradius/roo-code,0,https://avatars.githubusercontent.com/u/4855189?s=40&v=4,trustradius,roo-code
twilwa/nothingatall,0,https://avatars.githubusercontent.com/u/111034762?s=40&v=4,twilwa,nothingatall
EchoCog/cline,0,https://avatars.githubusercontent.com/u/187094100?s=40&v=4,EchoCog,cline
SSYCloud/roo-code-ssy,5,https://avatars.githubusercontent.com/u/204312386?s=40&v=4,SSYCloud,roo-code-ssy
canstralian/CodeAnywhere,1,https://avatars.githubusercontent.com/u/8595080?s=40&v=4,canstralian,CodeAnywhere
henrikmcgee/Roo-Code,0,https://avatars.githubusercontent.com/u/190606989?s=40&v=4,henrikmcgee,Roo-Code
yurijvolkov/cline_clone,0,https://avatars.githubusercontent.com/u/16668275?s=40&v=4,yurijvolkov,cline_clone
kodelydev/kodely,1,https://avatars.githubusercontent.com/u/208318331?s=40&v=4,kodelydev,kodely
codai-agent/codai,16,https://avatars.githubusercontent.com/u/209134232?s=40&v=4,codai-agent,codai
aeonnext/cline,0,https://avatars.githubusercontent.com/u/114485942?s=40&v=4,aeonnext,cline
kyle-apex/roo-scheduler,19,https://avatars.githubusercontent.com/u/20145331?s=40&v=4,kyle-apex,roo-scheduler
aicoding-caret/caret-zero,2,https://avatars.githubusercontent.com/u/208733330?s=40&v=4,aicoding-caret,caret-zero
jgeofil/hash,0,https://avatars.githubusercontent.com/u/12494787?s=40&v=4,jgeofil,hash
RepairYourTech/Symbiote,0,https://avatars.githubusercontent.com/u/30200484?s=40&v=4,RepairYourTech,Symbiote
Ajayvtl/febcoder,0,https://avatars.githubusercontent.com/u/145452656?s=40&v=4,Ajayvtl,febcoder
bilbywilby/cline,0,https://avatars.githubusercontent.com/u/160368875?s=40&v=4,bilbywilby,cline
gagan114662/roocode_api,0,https://avatars.githubusercontent.com/u/189418381?s=40&v=4,gagan114662,roocode_api
Modern-Prometheus-AI/Apex-CodeGenesis-VSCode,0,https://avatars.githubusercontent.com/u/202560613?s=40&v=4,Modern-Prometheus-AI,Apex-CodeGenesis-VSCode
GradientExplode/Agentic-AI-Coder,0,https://avatars.githubusercontent.com/u/184383765?s=40&v=4,GradientExplode,Agentic-AI-Coder
jedi4ever/autocoder-cline,2,https://avatars.githubusercontent.com/u/70908?s=40&v=4,jedi4ever,autocoder-cline
AgentFlow-Hub/MVP,0,https://avatars.githubusercontent.com/u/205887198?s=40&v=4,AgentFlow-Hub,MVP
RooCodeInc/Roo-Code-Marketplace,16,https://avatars.githubusercontent.com/u/211522643?s=40&v=4,RooCodeInc,Roo-Code-Marketplace
potproject/code-agent,25,https://avatars.githubusercontent.com/u/6498055?s=40&v=4,potproject,code-agent
MjrTom/Apex-CodeGenesis-VSCode,0,https://avatars.githubusercontent.com/u/1137977?s=40&v=4,MjrTom,Apex-CodeGenesis-VSCode
hannahbellesheart/blackbox.ai.security.analysis,2,https://avatars.githubusercontent.com/u/159597144?s=40&v=4,hannahbellesheart,blackbox.ai.security.analysis
anoblet/scad,0,https://avatars.githubusercontent.com/u/7674171?s=40&v=4,anoblet,scad
SmokeJoy/Jarvis-IDE,0,https://avatars.githubusercontent.com/u/204629920?s=40&v=4,SmokeJoy,Jarvis-IDE
justinlietz93/Apex-CodeGenesis,26,https://avatars.githubusercontent.com/u/156801407?s=40&v=4,justinlietz93,Apex-CodeGenesis
RemyLoveLogicAI/Roo-Code,0,https://avatars.githubusercontent.com/u/177037061?s=40&v=4,RemyLoveLogicAI,Roo-Code
MCP-Mirror/microsoft_genaiscript,0,https://avatars.githubusercontent.com/u/192820360?s=40&v=4,MCP-Mirror,microsoft_genaiscript
wolverin0/Roo-web-socket,0,https://avatars.githubusercontent.com/u/135726830?s=40&v=4,wolverin0,Roo-web-socket
libertyteeth/roo-fixes,0,https://avatars.githubusercontent.com/u/32841567?s=40&v=4,libertyteeth,roo-fixes
RodimusGPT/finder-kode,0,https://avatars.githubusercontent.com/u/129975483?s=40&v=4,RodimusGPT,finder-kode
dext7r/cline-chinese,0,https://avatars.githubusercontent.com/u/69443639?s=40&v=4,dext7r,cline-chinese
anoblet/genaisrc,0,https://avatars.githubusercontent.com/u/7674171?s=40&v=4,anoblet,genaisrc
awsh-enterprises/RooCode-Auto-Legacy,0,https://avatars.githubusercontent.com/u/140284579?s=40&v=4,awsh-enterprises,RooCode-Auto-Legacy
entrepeneur4lyf/NeuronLink-CA,0,https://avatars.githubusercontent.com/u/7050547?s=40&v=4,entrepeneur4lyf,NeuronLink-CA
entrepeneur4lyf/cline,1,https://avatars.githubusercontent.com/u/7050547?s=40&v=4,entrepeneur4lyf,cline
bountymac/Roo-Code,0,https://avatars.githubusercontent.com/u/161611901?s=40&v=4,bountymac,Roo-Code
Jobikinobi/cline,0,https://avatars.githubusercontent.com/u/328904?s=40&v=4,Jobikinobi,cline
Narendrareddygithub/cline,0,https://avatars.githubusercontent.com/u/159779479?s=40&v=4,Narendrareddygithub,cline
blazgocompany/DecaCoder,0,https://avatars.githubusercontent.com/u/96586789?s=40&v=4,blazgocompany,DecaCoder
anoblet/home-assistant,1,https://avatars.githubusercontent.com/u/7674171?s=40&v=4,anoblet,home-assistant
Commencement-Technology/cline,0,https://avatars.githubusercontent.com/u/66028997?s=40&v=4,Commencement-Technology,cline
kamisone/poc-stim-boulanger-cafetiere,0,https://avatars.githubusercontent.com/u/52345628?s=40&v=4,kamisone,poc-stim-boulanger-cafetiere
aqureshiest/earnest-dev,1,https://avatars.githubusercontent.com/u/59713011?s=40&v=4,aqureshiest,earnest-dev
mlhiter/mini-cline,0,https://avatars.githubusercontent.com/u/100181513?s=40&v=4,mlhiter,mini-cline
willgiton/roocode-fork,0,https://avatars.githubusercontent.com/u/33313201?s=40&v=4,willgiton,roocode-fork
jskroby/doordash-dashboard,0,https://avatars.githubusercontent.com/u/54971219?s=40&v=4,jskroby,doordash-dashboard
arthrod/Roo-Cline,0,https://avatars.githubusercontent.com/u/89408329?s=40&v=4,arthrod,Roo-Cline
taokepppooo/cursor,0,https://avatars.githubusercontent.com/u/24931132?s=40&v=4,taokepppooo,cursor
mlhiter/sline,0,https://avatars.githubusercontent.com/u/100181513?s=40&v=4,mlhiter,sline
hewansirak/LLM_Judge,0,https://avatars.githubusercontent.com/u/105466147?s=40&v=4,hewansirak,LLM_Judge
chainninja/ai-agent-mcp-demo,1,https://avatars.githubusercontent.com/u/85169739?s=40&v=4,chainninja,ai-agent-mcp-demo
klu-ai/grok-code,1,https://avatars.githubusercontent.com/u/124870686?s=40&v=4,klu-ai,grok-code
codeboltutils/multillm-node,0,https://avatars.githubusercontent.com/u/180016230?s=40&v=4,codeboltutils,multillm-node
SquareandCompass/Cline_AI_Coder,0,https://avatars.githubusercontent.com/u/11151457?s=40&v=4,SquareandCompass,Cline_AI_Coder
