name,stars,img,owner,repo_name
Breyes05/Exercise-Logger,0,https://avatars.githubusercontent.com/u/105382268?s=40&v=4,Breyes05,Exercise-Logger
GibrannClivi/clivi_mcp_gateway,0,https://avatars.githubusercontent.com/u/214888013?s=40&v=4,GibrannClivi,clivi_mcp_gateway
DappGoose-Labs/kilocode,0,https://avatars.githubusercontent.com/u/100529059?s=40&v=4,DappGoose-Labs,kilocode
DiegoSouzaPW/cline,0,https://avatars.githubusercontent.com/u/8016841?s=40&v=4,DiegoSouzaPW,cline
ancientastronautunearthed/fiberfriends-app,0,https://avatars.githubusercontent.com/u/201584740?s=40&v=4,ancientastronautunearthed,fiberfriends-app
mibi2007/Chatbot-Ecosystem-Main-Project,0,https://avatars.githubusercontent.com/u/10555526?s=40&v=4,mibi2007,Chatbot-Ecosystem-Main-Project
heydershukurov01/campus,0,https://avatars.githubusercontent.com/u/17590789?s=40&v=4,heydershukurov01,campus
lightningbolts/state-pulse,0,https://avatars.githubusercontent.com/u/13604458?s=40&v=4,lightningbolts,state-pulse
earth-sol/A2A,0,https://avatars.githubusercontent.com/u/55757024?s=40&v=4,earth-sol,A2A
earth-sol/genkit,0,https://avatars.githubusercontent.com/u/55757024?s=40&v=4,earth-sol,genkit
Zentar-Ai/Zentara-Code,16,https://avatars.githubusercontent.com/u/214788364?s=40&v=4,Zentar-Ai,Zentara-Code
jnorthrup/superbikeshed,0,https://avatars.githubusercontent.com/u/73514?s=40&v=4,jnorthrup,superbikeshed
MjrTom/Roo-Code,0,https://avatars.githubusercontent.com/u/1137977?s=40&v=4,MjrTom,Roo-Code
ffp5/cline-main,0,https://avatars.githubusercontent.com/u/91985618?s=40&v=4,ffp5,cline-main
glassBead-tc/Roo-Code-MCP-Eval,0,https://avatars.githubusercontent.com/u/102933849?s=40&v=4,glassBead-tc,Roo-Code-MCP-Eval
akshayVR/codelab-ai-genkit-rag,0,https://avatars.githubusercontent.com/u/8282029?s=40&v=4,akshayVR,codelab-ai-genkit-rag
Monieshkumar54/Bootcamp,0,https://avatars.githubusercontent.com/u/150252615?s=40&v=4,Monieshkumar54,Bootcamp
Imago-Dei2024/rethink-3-final,0,https://avatars.githubusercontent.com/u/198663872?s=40&v=4,Imago-Dei2024,rethink-3-final
huooda/MultiCoder,0,https://avatars.githubusercontent.com/u/123956273?s=40&v=4,huooda,MultiCoder
jayaraj-kannan/codelab-ai-genkit-rag,0,https://avatars.githubusercontent.com/u/128887215?s=40&v=4,jayaraj-kannan,codelab-ai-genkit-rag
AryxnSxngh/codelab-ai-genkit-rag,0,https://avatars.githubusercontent.com/u/48877621?s=40&v=4,AryxnSxngh,codelab-ai-genkit-rag
SURSAAKS/firebase,0,https://avatars.githubusercontent.com/u/101467217?s=40&v=4,SURSAAKS,firebase
Craziprogrammerharish/Gen_ai_25,0,https://avatars.githubusercontent.com/u/98517216?s=40&v=4,Craziprogrammerharish,Gen_ai_25
dev-naman/gcp-bootcamp,0,https://avatars.githubusercontent.com/u/161939363?s=40&v=4,dev-naman,gcp-bootcamp
MIPriya23/genai-pri23,0,https://avatars.githubusercontent.com/u/129153111?s=40&v=4,MIPriya23,genai-pri23
PuneethRam/codelab-ai-genkit-rag,0,https://avatars.githubusercontent.com/u/85025947?s=40&v=4,PuneethRam,codelab-ai-genkit-rag
Vigneshwaran-93/Google-bootcamp-genkit,0,https://avatars.githubusercontent.com/u/109739970?s=40&v=4,Vigneshwaran-93,Google-bootcamp-genkit
mohanrajnambe/google-exchange-codelab,0,https://avatars.githubusercontent.com/u/55721773?s=40&v=4,mohanrajnambe,google-exchange-codelab
noResign/Roo-Code-Simple,0,https://avatars.githubusercontent.com/u/55434371?s=40&v=4,noResign,Roo-Code-Simple
tot-ra/clare,0,https://avatars.githubusercontent.com/u/445122?s=40&v=4,tot-ra,clare
arshhazad/echo-chat,0,https://avatars.githubusercontent.com/u/128383059?s=40&v=4,arshhazad,echo-chat
ussam-dri/a2aforb2b,0,https://avatars.githubusercontent.com/u/73286095?s=40&v=4,ussam-dri,a2aforb2b
heenrique6/conect-fastapp,0,https://avatars.githubusercontent.com/u/208069328?s=40&v=4,heenrique6,conect-fastapp
