name,stars,img,owner,repo_name
Nhannguyenus24/Clean-architecture,0,https://avatars.githubusercontent.com/u/124347873?s=40&v=4,Nhannguyenus24,Clean-architecture
Tsion2116/CarcinogenicProductIdentifierApplication,0,https://avatars.githubusercontent.com/u/171179476?s=40&v=4,Tsion2116,CarcinogenicProductIdentifierApplication
bemnetSeifu/OnlineMedicalAppointment,0,https://avatars.githubusercontent.com/u/168444086?s=40&v=4,bemnetSeifu,OnlineMedicalAppointment
eleuteriovargas/SpringBoot-sreenmatch,0,https://avatars.githubusercontent.com/u/134577677?s=40&v=4,eleuteriovargas,SpringBoot-sreenmatch
umjammer/vavi-speech2,4,https://avatars.githubusercontent.com/u/493908?s=40&v=4,umjammer,vavi-speech2
rianfernandesno/Discord-bot-,0,https://avatars.githubusercontent.com/u/153565586?s=40&v=4,rianfernandesno,Discord-bot-
abisaihz/VisualizacionSeries,0,https://avatars.githubusercontent.com/u/119711506?s=40&v=4,abisaihz,VisualizacionSeries
CaweAlves/resposta-quente,0,https://avatars.githubusercontent.com/u/84283988?s=40&v=4,CaweAlves,resposta-quente
BassilekinJean/gemini-api-client-avec-springboot,0,https://avatars.githubusercontent.com/u/175778979?s=40&v=4,BassilekinJean,gemini-api-client-avec-springboot
DeepDarkBoy48/DiscordAiBot,0,https://avatars.githubusercontent.com/u/70373937?s=40&v=4,DeepDarkBoy48,DiscordAiBot
phanvyvan/resume-ai,0,https://avatars.githubusercontent.com/u/98153120?s=40&v=4,phanvyvan,resume-ai
josesreyesdev/Screen-match2,0,https://avatars.githubusercontent.com/u/37203999?s=40&v=4,josesreyesdev,Screen-match2
Priscila-Santos/screenmatch-sem-web,0,https://avatars.githubusercontent.com/u/105620054?s=40&v=4,Priscila-Santos,screenmatch-sem-web
el3ma/java-spring-persistenciadatos,0,https://avatars.githubusercontent.com/u/105300911?s=40&v=4,el3ma,java-spring-persistenciadatos
gabrielferreira02/timepedia,0,https://avatars.githubusercontent.com/u/176718015?s=40&v=4,gabrielferreira02,timepedia
Aquatimez1991/Spring-JPA,0,https://avatars.githubusercontent.com/u/127319875?s=40&v=4,Aquatimez1991,Spring-JPA
includeNata/api-viagem,0,https://avatars.githubusercontent.com/u/128611666?s=40&v=4,includeNata,api-viagem
theamaan/backend,0,https://avatars.githubusercontent.com/u/90848726?s=40&v=4,theamaan,backend
dev-Chaves/assistente-contabil,0,https://avatars.githubusercontent.com/u/169490594?s=40&v=4,dev-Chaves,assistente-contabil
sanchits5/appX-AIChatbot,0,https://avatars.githubusercontent.com/u/195745721?s=40&v=4,sanchits5,appX-AIChatbot
PedroCPdev/SpringBoot-ALURA,1,https://avatars.githubusercontent.com/u/88514036?s=40&v=4,PedroCPdev,SpringBoot-ALURA
gamal2421/Personal-Expenses-Manager,1,https://avatars.githubusercontent.com/u/171421361?s=40&v=4,gamal2421,Personal-Expenses-Manager
Davidsonnj/Defesa-Mestrado-BPMN,0,https://avatars.githubusercontent.com/u/125027735?s=40&v=4,Davidsonnj,Defesa-Mestrado-BPMN
