,name,id,url,total_dependents_number,public_dependents_number,private_dependents_number,public_dependent_stars,badges.total,badges.public,badges.private,badges.stars
0,@dqbd/openai,UGFja2FnZS0zNjQ0MTIzMTA5,https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjQ0MTIzMTA5,2.0,2.0,-2.0,1.0,[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by&message=2&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjQ0MTIzMTA5),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(public)&message=2&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjQ0MTIzMTA5),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(private)&message=-2&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjQ0MTIzMTA5),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(stars)&message=1&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjQ0MTIzMTA5)
1,@ericlewis/openai,UGFja2FnZS0zNjA0ODcyNTI0,https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjA0ODcyNTI0,4.0,4.0,-4.0,3.0,[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by&message=4&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjA0ODcyNTI0),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(public)&message=4&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjA0ODcyNTI0),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(private)&message=-4&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjA0ODcyNTI0),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(stars)&message=3&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjA0ODcyNTI0)
2,@fortaine/openai,UGFja2FnZS0zNTA4MDUzMTcz,https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNTA4MDUzMTcz,26.0,26.0,-26.0,63.0,[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by&message=26&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNTA4MDUzMTcz),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(public)&message=26&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNTA4MDUzMTcz),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(private)&message=-26&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNTA4MDUzMTcz),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(stars)&message=63&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNTA4MDUzMTcz)
3,@granmoe/openai,UGFja2FnZS01MzUwNjY2ODg5,https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS01MzUwNjY2ODg5,0.0,0.0,0.0,0.0,[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS01MzUwNjY2ODg5),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(public)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS01MzUwNjY2ODg5),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(private)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS01MzUwNjY2ODg5),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(stars)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS01MzUwNjY2ODg5)
4,@haruleekim/openai,UGFja2FnZS0zNTQzODkxMTMz,https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNTQzODkxMTMz,0.0,0.0,0.0,0.0,[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNTQzODkxMTMz),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(public)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNTQzODkxMTMz),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(private)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNTQzODkxMTMz),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(stars)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNTQzODkxMTMz)
5,@marchyang/openai,UGFja2FnZS0zNjM0NDUxNDc5,https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjM0NDUxNDc5,1.0,1.0,-1.0,0.0,[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by&message=1&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjM0NDUxNDc5),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(public)&message=1&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjM0NDUxNDc5),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(private)&message=-1&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjM0NDUxNDc5),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(stars)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjM0NDUxNDc5)
6,@pezzo/openai,UGFja2FnZS00MzI5MDY1ODkx,https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS00MzI5MDY1ODkx,0.0,0.0,0.0,0.0,[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS00MzI5MDY1ODkx),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(public)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS00MzI5MDY1ODkx),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(private)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS00MzI5MDY1ODkx),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(stars)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS00MzI5MDY1ODkx)
7,@promptable/openai,UGFja2FnZS0zNTY3MzI1NDIx,https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNTY3MzI1NDIx,0.0,0.0,0.0,0.0,[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNTY3MzI1NDIx),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(public)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNTY3MzI1NDIx),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(private)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNTY3MzI1NDIx),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(stars)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNTY3MzI1NDIx)
8,fred-openai,UGFja2FnZS0zNjA4MDcxMjc2,https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjA4MDcxMjc2,0.0,0.0,0.0,0.0,[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjA4MDcxMjc2),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(public)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjA4MDcxMjc2),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(private)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjA4MDcxMjc2),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(stars)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS0zNjA4MDcxMjc2)
9,github.com/openai/openai-node,UGFja2FnZS00MjkzNDE0MDYy,https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS00MjkzNDE0MDYy,1.0,1.0,-1.0,0.0,[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by&message=1&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS00MjkzNDE0MDYy),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(public)&message=1&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS00MjkzNDE0MDYy),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(private)&message=-1&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS00MjkzNDE0MDYy),[![Generated by github-dependents-info](https://img.shields.io/static/v1?label=Used%20by%20(stars)&message=0&color=informational&logo=slickpic)](https://github.com/openai/openai-node/network/dependents?package_id=UGFja2FnZS00MjkzNDE0MDYy)
